2018-04-28 16:20:05,215 INFO  [stdout] (default task-3)         license0_.user_id as user_id9_8_ 
2018-04-28 16:20:05,215 INFO  [stdout] (default task-3)     from
2018-04-28 16:20:05,215 INFO  [stdout] (default task-3)         licenses license0_ 
2018-04-28 16:20:05,215 INFO  [stdout] (default task-3)     where
2018-04-28 16:20:05,216 INFO  [stdout] (default task-3)         license0_.serial_number=?
2018-04-28 16:20:31,013 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:20:31,013 INFO  [stdout] (default task-3)     select
2018-04-28 16:20:31,013 INFO  [stdout] (default task-3)         user0_.id as id1_13_,
2018-04-28 16:20:31,013 INFO  [stdout] (default task-3)         user0_.created_at as created_2_13_,
2018-04-28 16:20:31,014 INFO  [stdout] (default task-3)         user0_.updated_at as updated_3_13_,
2018-04-28 16:20:31,014 INFO  [stdout] (default task-3)         user0_.CPF as CPF4_13_,
2018-04-28 16:20:31,014 INFO  [stdout] (default task-3)         user0_.criminal_recors as criminal5_13_,
2018-04-28 16:20:31,014 INFO  [stdout] (default task-3)         user0_.date_of_birth as date_of_6_13_,
2018-04-28 16:20:31,014 INFO  [stdout] (default task-3)         user0_.email as email7_13_,
2018-04-28 16:20:31,014 INFO  [stdout] (default task-3)         user0_.fathers_name as fathers_8_13_,
2018-04-28 16:20:31,015 INFO  [stdout] (default task-3)         user0_.gender_id as gender_18_13_,
2018-04-28 16:20:31,015 INFO  [stdout] (default task-3)         user0_.mothers_name as mothers_9_13_,
2018-04-28 16:20:31,015 INFO  [stdout] (default task-3)         user0_.name as name10_13_,
2018-04-28 16:20:31,015 INFO  [stdout] (default task-3)         user0_.nationality as nationa11_13_,
2018-04-28 16:20:31,015 INFO  [stdout] (default task-3)         user0_.naturalness as natural12_13_,
2018-04-28 16:20:31,016 INFO  [stdout] (default task-3)         user0_.password as passwor13_13_,
2018-04-28 16:20:31,016 INFO  [stdout] (default task-3)         user0_.responding_process as respond14_13_,
2018-04-28 16:20:31,016 INFO  [stdout] (default task-3)         user0_.RG as RG15_13_,
2018-04-28 16:20:31,016 INFO  [stdout] (default task-3)         user0_.RG_issuing_body as RG_issu16_13_,
2018-04-28 16:20:31,016 INFO  [stdout] (default task-3)         user0_.rg_uf as rg_uf17_13_,
2018-04-28 16:20:31,017 INFO  [stdout] (default task-3)         user0_.role_id as role_id19_13_ 
2018-04-28 16:20:31,017 INFO  [stdout] (default task-3)     from
2018-04-28 16:20:31,017 INFO  [stdout] (default task-3)         users user0_ 
2018-04-28 16:20:31,017 INFO  [stdout] (default task-3)     where
2018-04-28 16:20:31,017 INFO  [stdout] (default task-3)         user0_.CPF=?
2018-04-28 16:21:24,813 INFO  [stdout] (default task-1) ===============================================
2018-04-28 16:21:24,818 INFO  [stdout] (default task-1) =============TOKEN NAO CONFIAVEL ==============
2018-04-28 16:21:24,819 INFO  [stdout] (default task-1) ===============================================
2018-04-28 16:21:24,822 INFO  [stdout] (default task-1) Hibernate: 
2018-04-28 16:21:24,823 INFO  [stdout] (default task-1)     select
2018-04-28 16:21:24,823 INFO  [stdout] (default task-1)         userrole0_.id as id1_14_,
2018-04-28 16:21:24,824 INFO  [stdout] (default task-1)         userrole0_.created_at as created_2_14_,
2018-04-28 16:21:24,824 INFO  [stdout] (default task-1)         userrole0_.updated_at as updated_3_14_,
2018-04-28 16:21:24,824 INFO  [stdout] (default task-1)         userrole0_.description as descript4_14_ 
2018-04-28 16:21:24,824 INFO  [stdout] (default task-1)     from
2018-04-28 16:21:24,824 INFO  [stdout] (default task-1)         users_roles userrole0_ limit ?
2018-04-28 16:21:24,825 INFO  [stdout] (default task-2) Hibernate: 
2018-04-28 16:21:24,825 INFO  [stdout] (default task-2)     select
2018-04-28 16:21:24,825 INFO  [stdout] (default task-2)         state0_.id as id1_12_,
2018-04-28 16:21:24,825 INFO  [stdout] (default task-2)         state0_.created_at as created_2_12_,
2018-04-28 16:21:24,825 INFO  [stdout] (default task-2)         state0_.updated_at as updated_3_12_,
2018-04-28 16:21:24,825 INFO  [stdout] (default task-2)         state0_.Abbrev as Abbrev4_12_,
2018-04-28 16:21:24,825 INFO  [stdout] (default task-2)         state0_.country_id as country_6_12_,
2018-04-28 16:21:24,826 INFO  [stdout] (default task-2)         state0_.description as descript5_12_ 
2018-04-28 16:21:24,826 INFO  [stdout] (default task-2)     from
2018-04-28 16:21:24,826 INFO  [stdout] (default task-2)         states state0_
2018-04-28 16:21:24,826 INFO  [stdout] (default task-4) Hibernate: 
2018-04-28 16:21:24,826 INFO  [stdout] (default task-4)     select
2018-04-28 16:21:24,826 INFO  [stdout] (default task-4)         city0_.id as id1_2_,
2018-04-28 16:21:24,827 INFO  [stdout] (default task-4)         city0_.created_at as created_2_2_,
2018-04-28 16:21:24,827 INFO  [stdout] (default task-4)         city0_.updated_at as updated_3_2_,
2018-04-28 16:21:24,827 INFO  [stdout] (default task-4)         city0_.description as descript4_2_,
2018-04-28 16:21:24,827 INFO  [stdout] (default task-4)         city0_.state_id as state_id5_2_ 
2018-04-28 16:21:24,827 INFO  [stdout] (default task-4)     from
2018-04-28 16:21:24,828 INFO  [stdout] (default task-4)         cities city0_
2018-04-28 16:21:24,828 INFO  [stdout] (default task-5) Hibernate: 
2018-04-28 16:21:24,828 INFO  [stdout] (default task-5)     select
2018-04-28 16:21:24,828 INFO  [stdout] (default task-5)         country0_.id as id1_3_,
2018-04-28 16:21:24,828 INFO  [stdout] (default task-5)         country0_.created_at as created_2_3_,
2018-04-28 16:21:24,829 INFO  [stdout] (default task-5)         country0_.updated_at as updated_3_3_,
2018-04-28 16:21:24,829 INFO  [stdout] (default task-5)         country0_.description as descript4_3_ 
2018-04-28 16:21:24,829 INFO  [stdout] (default task-5)     from
2018-04-28 16:21:24,829 INFO  [stdout] (default task-5)         countries country0_
2018-04-28 16:21:24,830 INFO  [stdout] (default task-3) Hibernate: 
2018-04-28 16:21:24,830 INFO  [stdout] (default task-3)     select
2018-04-28 16:21:24,830 INFO  [stdout] (default task-3)         gender0_.id as id1_6_,
2018-04-28 16:21:24,830 INFO  [stdout] (default task-3)         gender0_.created_at as created_2_6_,
2018-04-28 16:21:24,831 INFO  [stdout] (default task-3)         gender0_.updated_at as updated_3_6_,
2018-04-28 16:21:24,832 INFO  [stdout] (default task-3)         gender0_.abbrev as abbrev4_6_,
2018-04-28 16:21:24,832 INFO  [stdout] (default task-3)         gender0_.description as descript5_6_ 
2018-04-28 16:21:24,833 INFO  [stdout] (default task-3)     from
2018-04-28 16:21:24,834 INFO  [stdout] (default task-3)         genders gender0_
2018-04-28 16:21:24,836 INFO  [stdout] (default task-2) Hibernate: 
2018-04-28 16:21:24,844 INFO  [stdout] (default task-2)     select
2018-04-28 16:21:24,844 INFO  [stdout] (default task-2)         country0_.id as id1_3_0_,
2018-04-28 16:21:24,846 INFO  [stdout] (default task-2)         country0_.created_at as created_2_3_0_,
2018-04-28 16:21:24,846 INFO  [stdout] (default task-2)         country0_.updated_at as updated_3_3_0_,
2018-04-28 16:21:24,847 INFO  [stdout] (default task-2)         country0_.description as descript4_3_0_ 
2018-04-28 16:21:24,847 INFO  [stdout] (default task-2)     from
2018-04-28 16:21:24,847 INFO  [stdout] (default task-2)         countries country0_ 
2018-04-28 16:21:24,847 INFO  [stdout] (default task-2)     where
